,title,view_count,like_count,duration,title_length,giveaway
213,"I Donated $40,000 To A Random Twitch Fortnite Streamer (world record)",23992898,623863,1483.0,69,1
214,Destroying My Friend's Car And Surprising Him With A New One,38211768,622714,912.0,60,0
215,Walking Up To Random People With 100 StormTroopers,18776910,490075,604.0,50,0
216,"I Donated $10,000 If They Said This Word (Twitch Streamers)",19885258,556470,785.0,59,1
217,"Giving My 4,000,000th Subscriber 4,000,000 Cookies",13076774,344396,641.0,50,0
218,"I Tipped Waitresses $20,000",14495470,350866,744.0,27,1
219,Walking Into Random Stores With 100 Dinosaurs,31956979,883484,612.0,45,0
220,I Built A Mansion Using Only Cardboard Boxes,25188813,570167,430.0,44,0
221,Breaking Glass Using Only Megaphones,53296112,1409932,552.0,36,0
222,Tying My Shoes In Every State (World Record),17510270,439802,910.0,44,0
223,"I Dropped $20,000 From A Drone",7680192,248692,711.0,30,1
224,"Donating $10,000 To Fortnite Streamers If They Win",11273738,274350,966.0,50,1
225,Trying To Fly Using Only Leaf Blowers,18166183,430174,790.0,37,0
226,"Giving 3,000,000 Pennies To My 3,000,000th Subscriber",8638112,233617,610.0,53,0
227,"I Donated $30,000 To My Favorite Twitch Streamer (ninja)",36564233,864208,677.0,56,1
228,"I Gave $20,000 To Random Homeless People",46950969,1322257,656.0,40,1
229,I Bought An Expensive Car Using Only $1 Bills,36877185,1076577,629.0,45,1
230,I Bought The World's Most Expensive Apps ($10k),26807158,768337,644.0,47,1
231,We Delivered 100 Pizzas To Random Houses,9058763,228113,603.0,40,0
232,"I Donated $30,000 To A Random Twitch Streamer (world record)",32578760,1057215,1106.0,60,1
233,I Bought A Car Using Only Pennies,26241147,721149,728.0,33,0
234,I Bought One Snickers Bar From Every Walmart,43778633,1119076,640.0,44,0
235,Donating Big Donations To Twitch Streamers!!!,27425750,580407,1161.0,45,0
236,How Many Balloons Does It Take To Float?,25664134,582248,661.0,40,0
237,"Can 10,000 Condoms Stop A Bullet?",12964534,499334,498.0,33,0
238,I Can't Believe I Found This Stuff On Amazon..,30307588,1196450,501.0,46,0
239,"Saying ""Keep Net Neutrality"" For 10 Hours",2079011,78560,36002.0,41,0
240,I Cant Believe What Was In This Abandoned Storage Unit..,24315461,882974,645.0,56,0
241,What Can You Cut With Paper?,28522189,723482,602.0,28,0
242,Life Hacks You Need To Know,7254650,202097,604.0,27,0
243,"Can 100,000 Pieces Of Paper Stop A Bullet?",25778253,485912,759.0,42,0
244,"Giving My Mom $100,000 (Proudest Day Of My Life)",30195619,1486230,745.0,48,1
245,I Bought An Abandoned Storage Unit And Found This..,34902612,623855,729.0,51,0
246,"2,256 Miles In One Uber Ride (World Record)",41612339,1085199,616.0,43,0
247,i'm really sorry,5552386,199588,207.0,16,0
248,Hi Me In Two Years (Made Two Years Ago),13391791,602388,110.0,39,0
249,What Actually Happens When You Click On Spam Ads,3765961,153822,227.0,48,0
250,"Tipping Uber Drivers $10,000",4559732,126701,757.0,28,1
251,Going To The Connor McGregor fight!,5987990,230856,342.0,35,0
252,"Tipping Pizza Delivery Guys $10,000",21959010,691009,769.0,35,1
253,"Microwaving my iPhone, what happens next might shock you..",2677548,123037,366.0,58,0
254,"Saying Logan Paul 100,000 Times",22293700,899180,61567.0,31,0
255,"Donating $10,000 To Random Twitch Streamers",10732534,225869,972.0,43,1
256,Breaking The Law,31205057,812202,237.0,16,0
257,"Giving Homeless People $1,000 (Not Clickbait)",6393578,223623,527.0,45,1
258,We Are Better Than Dude Perfect,25252330,648508,157.0,31,0
259,Every Challenge I've Ever Done,832376,27455,85686.0,30,0
260,Watching It's Everyday Bro For 10 Hours Straight,27351084,808495,36011.0,48,0
261,"Giving A Random Homeless Man $10,000",10478809,526923,602.0,36,1
262,Toothpaste Life Hacks YOU SHOULD KNOW,19665117,506900,283.0,37,0
263,"Reading The Longest English Word (190,000 Characters)",34444197,795880,6889.0,53,0
264,Fidget Spinner Vs Face (Legit Had To Get Stitches),39737628,1548561,427.0,50,0
265,Grilling A Microwave Microwaving A Microwave Microwaving A Toaster Toasting An Iphone Watching Micro,1954458,68720,188.0,100,0
266,#1 MOST INSANE MAGNET LIFE HACK EVER,26138362,530368,323.0,36,0
267,Watching Dance Till You're Dead For 10 Hours,51665938,2541807,36001.0,44,0
268,I Can't Break My Strange Addiction,1785125,93325,285.0,34,0
269,OMG! INSANE CUP FORT,4058212,95841,309.0,20,0
270,Savage Level 9000,7162541,319433,121.0,17,0
271,Reading The Youtube Terms Of Service,492785,18386,1557.0,36,0
272,Reacting To The Reaction Of The Reaction To The Reaction Of The Reaction Of The Reaction To The Reac,7575548,323826,2009.0,100,0
273,"Counting To 200,000 (Road To A Mil)",3627008,144472,84878.0,35,0
274,Microwaving Dry Ice (Microwave Explodes),3275435,96153,363.0,40,0
275,"I Counted To 100,000!",27479467,1323075,85687.0,21,0
276,we are number one but every one is a bad intro,1936484,56079,221.0,46,0
277,Microwaving A Microwave Microwaving A Toaster,4816289,86776,860.0,45,0
278,HOW TO UNLOCK ANY IPHONE WITHOUT THE PASSCODE,22835506,585771,531.0,45,0
279,WHY DO THEY SELL THIS ON AMAZON?,8615679,724192,612.0,32,0
280,Microwaving A Microwave,11156560,428677,604.0,23,0
281,IF YOU ONLY SEE ORANGE YOU'RE COLOR BLIND,1753688,92941,233.0,41,0
282,I Mailed Myself IN A BOX & it REALLY WORKED! (Human Mail Challenge),16027079,451129,341.0,67,0
